species_common_name,species_scientific_name,taxonomic_group,region,iucn_status,iucn_status_numeric,year,population,is_interpolated,data_source,population_change,population_pct_change,population_rolling_3yr,population_rolling_5yr,overall_trend,risk_level,population_change_rate,population_rolling_avg,population_rolling_std,population_cv,years_since_baseline,population_peak,population_relative_to_peak,population_baseline,population_relative_to_baseline,cumulative_change_rate,is_declining,is_growing,conservation_urgency,overall_trend_encoded,risk_level_encoded,taxonomic_group_encoded,region_encoded,species_encoded,taxon_Aquatic Mammal,taxon_Bird,taxon_Mammal,taxon_Marine Mammal,taxon_Reptile,region_Africa,region_China,region_Global Oceans,region_India,region_North America,region_Usa
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1979,1300000,False,African Elephant Database,-69100.0,-5.315385,1300000.0,1300000.0,stable,Medium,0.0,1300000.0,0.0,0.0,0,1300000,1.0,1300000,1.0,0.0,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1980,1230900,True,African Elephant Database,-69100.0,-5.315385,1265450.0,1265450.0,stable,Medium,-5.315384615384611,1265450.0,48861.07857999043,0.0386116232012252,1,1300000,0.9468461538461539,1300000,0.9468461538461539,-5.315384615384611,1,0,3.1594615384615383,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1981,1161800,True,African Elephant Database,-69100.0,-5.613779,1230900.0,1230900.0,stable,Medium,-5.613778536030544,1230900.0,69100.0,0.05613778536030547,2,1300000,0.8936923076923077,1300000,0.8936923076923077,-10.929163151415155,1,0,3.168413356080916,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1982,1092700,True,African Elephant Database,-69100.0,-5.947667,1161800.0,1196350.0,stable,Medium,-5.94766741263556,1161800.0,69100.0,0.059476674126355655,3,1300000,0.8405384615384616,1300000,0.8405384615384616,-16.876830564050714,1,0,3.178430022379067,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1983,1023600,True,African Elephant Database,-69100.0,-6.323785,1092700.0,1161800.0,stable,Medium,-6.323785119428937,1092700.0,69100.0,0.06323785119428937,4,1300000,0.7873846153846153,1300000,0.7873846153846153,-23.20061568347965,1,0,3.189713553582868,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1984,954500,True,African Elephant Database,-69100.0,-6.750684,1023600.0,1092700.0,stable,Medium,-6.750683860883155,1023600.0,69100.0,0.06750683860883157,5,1300000,0.7342307692307692,1300000,0.7342307692307692,-29.951299544362804,1,0,3.2025205158264947,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1985,885400,True,African Elephant Database,-69100.0,-7.239392,954500.0,1023600.0,stable,Medium,-7.23939235201676,954500.0,69100.0,0.07239392352016762,6,1300000,0.681076923076923,1300000,0.681076923076923,-37.19069189637956,1,0,3.2171817705605026,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1986,816300,True,African Elephant Database,-69100.0,-7.804382,885400.0,954500.0,stable,Medium,-7.804382200135529,885400.0,69100.0,0.0780438220013553,7,1300000,0.6279230769230769,1300000,0.6279230769230769,-44.99507409651509,1,0,3.234131466004066,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1987,747200,True,African Elephant Database,-69100.0,-8.465025,816300.0,885400.0,stable,Medium,-8.465025113316182,816300.0,69100.0,0.08465025113316181,8,1300000,0.5747692307692308,1300000,0.5747692307692308,-53.46009920983127,1,0,3.253950753399485,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1988,678100,True,African Elephant Database,-69100.0,-9.247859,747200.0,816300.0,stable,Medium,-9.247858672376875,747200.0,69100.0,0.09247858672376873,9,1300000,0.5216153846153846,1300000,0.5216153846153846,-62.70795788220815,1,0,3.277435760171306,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1989,609000,False,African Elephant Database,-69100.0,-10.190237,678100.0,747200.0,stable,Medium,-10.19023742810795,678100.0,69100.0,0.10190237428107947,10,1300000,0.4684615384615385,1300000,0.4684615384615385,-72.8981953103161,1,0,3.305707122843238,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1990,604167,True,African Elephant Database,-4833.0,-0.793596,630422.0,690953.0,stable,Medium,-0.7935960591132996,630422.3333333334,41360.722870053105,0.065607959431513,11,1300000,0.4647438461538462,1300000,0.4647438461538462,-73.6917913694294,1,0,3.0238078817733993,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1991,599333,True,African Elephant Database,-4834.0,-0.80011,604167.0,647560.0,stable,Medium,-0.8001099033876358,604166.6666666666,4833.5000086205755,0.008000275876337504,12,1300000,0.4610253846153846,1300000,0.4610253846153846,-74.49190127281703,1,0,3.024003297101629,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1992,594500,True,African Elephant Database,-4833.0,-0.806396,599333.0,617020.0,stable,Medium,-0.806396444046964,599333.3333333334,4833.5000086205755,0.008064794230178933,13,1300000,0.4573076923076923,1300000,0.4573076923076923,-75.298297716864,1,0,3.024191893321409,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1993,589667,True,African Elephant Database,-4833.0,-0.812952,594500.0,599333.0,stable,Medium,-0.8129520605550833,594500.0,4833.000000000197,0.008129520605551213,14,1300000,0.45359,1300000,0.45359,-76.11124977741908,1,0,3.024388561816653,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1994,584833,True,African Elephant Database,-4834.0,-0.819785,589667.0,594500.0,stable,Medium,-0.8197847259554969,589666.6666666666,4833.5000086205755,0.008197003971657279,15,1300000,0.44987153846153843,1300000,0.44987153846153843,-76.93103450337458,1,0,3.024593541778665,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1995,580000,False,African Elephant Database,-4833.0,-0.82639,584833.0,589667.0,stable,Medium,-0.8263897557080346,584833.3333333334,4833.5000086205755,0.008264747806133782,16,1300000,0.4461538461538462,1300000,0.4461538461538462,-77.75742425908261,1,0,3.024791692671241,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1996,568571,True,African Elephant Database,-11429.0,-1.970517,577801.0,583514.0,stable,Medium,-1.9705172413793104,577801.3333333334,8350.973735639187,0.014453019150133237,17,1300000,0.4373623076923077,1300000,0.4373623076923077,-79.72794150046192,1,0,3.0591155172413793,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1997,557143,True,African Elephant Database,-11428.0,-2.009951,568571.0,576043.0,stable,Medium,-2.0099512637823613,568571.3333333334,11428.500003645975,0.02010038025773249,18,1300000,0.42857153846153845,1300000,0.42857153846153845,-81.73789276424428,1,0,3.0602985379134706,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1998,545714,True,African Elephant Database,-11429.0,-2.051358,557143.0,567252.0,stable,Medium,-2.0513584483696334,557142.6666666666,11428.500003645975,0.02051269932712502,19,1300000,0.41978,1300000,0.41978,-83.78925121261392,1,0,3.061540753451089,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1999,534286,True,African Elephant Database,-11428.0,-2.094137,545714.0,557143.0,stable,Medium,-2.0941372220613763,545714.3333333334,11428.500003645975,0.02094227566616839,20,1300000,0.4109892307692308,1300000,0.4109892307692308,-85.8833884346753,1,0,3.062824116661841,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2000,522857,True,African Elephant Database,-11429.0,-2.139117,534286.0,545714.0,stable,Medium,-2.1391165031462545,534285.6666666666,11428.500003645975,0.021390242554973973,21,1300000,0.4021976923076923,1300000,0.4021976923076923,-88.02250493782155,1,0,3.064173495094388,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2001,511429,True,African Elephant Database,-11428.0,-2.185684,522857.0,534286.0,stable,Medium,-2.1856836572906158,522857.3333333333,11428.500003645953,0.021857778929458036,22,1300000,0.3934069230769231,1300000,0.3934069230769231,-90.20818859511216,1,0,3.0655705097187185,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2002,500000,False,African Elephant Database,-11429.0,-2.234719,511429.0,522857.0,stable,Medium,-2.23471879772168,511428.6666666667,11428.500003645953,0.02234622489610011,23,1300000,0.38461538461538464,1300000,0.38461538461538464,-92.44290739283385,1,0,3.0670415639316504,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2003,494400,True,African Elephant Database,-5600.0,-1.12,501943.0,512594.0,stable,Medium,-1.1199999999999988,501943.0,8679.178935821197,0.01729116440675773,24,1300000,0.3803076923076923,1300000,0.3803076923076923,-93.56290739283385,1,0,3.0336000000000003,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2004,488800,True,African Elephant Database,-5600.0,-1.132686,494400.0,503497.0,stable,Medium,-1.132686084142398,494400.0,5600.000000000213,0.011326860841424376,25,1300000,0.376,1300000,0.376,-94.69559347697624,1,0,3.0339805825242716,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2005,483200,True,African Elephant Database,-5600.0,-1.145663,488800.0,495566.0,stable,Medium,-1.1456628477905073,488800.0,5600.000000000213,0.011456628477905507,26,1300000,0.3716923076923077,1300000,0.3716923076923077,-95.84125632476675,1,0,3.0343698854337156,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2006,477600,True,African Elephant Database,-5600.0,-1.15894,483200.0,488800.0,stable,Medium,-1.1589403973509937,483200.0,5600.000000000213,0.011589403973510371,27,1300000,0.36738461538461537,1300000,0.36738461538461537,-97.00019672211774,1,0,3.03476821192053,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2007,472000,False,African Elephant Database,-5600.0,-1.172529,477600.0,483200.0,stable,Medium,-1.1725293132328285,477600.0,5600.000000000213,0.011725293132328752,28,1300000,0.3630769230769231,1300000,0.3630769230769231,-98.17272603535056,1,0,3.035175879396985,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2008,454896,True,African Elephant Database,-17104.0,-3.623729,468165.0,475299.0,stable,Medium,-3.6237288135593237,468165.3333333333,11827.781082406604,0.025264111287764297,29,1300000,0.34992,1300000,0.34992,-101.79645484890989,1,0,3.1087118644067795,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2009,437792,True,African Elephant Database,-17104.0,-3.75998,454896.0,465098.0,stable,Medium,-3.75998030319018,454896.0,17104.00000000006,0.03759980303190191,30,1300000,0.33676307692307694,1300000,0.33676307692307694,-105.55643515210006,1,0,3.1127994090957056,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2010,420688,True,African Elephant Database,-17104.0,-3.906878,437792.0,452595.0,stable,Medium,-3.9068781521818585,437792.0,17104.00000000006,0.0390687815218187,31,1300000,0.3236061538461538,1300000,0.3236061538461538,-109.46331330428193,1,0,3.117206344565456,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2011,403583,True,African Elephant Database,-17105.0,-4.065959,420688.0,437792.0,stable,Medium,-4.065958620165066,420687.6666666667,17104.500002436074,0.04065842989399753,32,1300000,0.31044846153846156,1300000,0.31044846153846156,-113.52927192444699,1,0,3.1219787586049517,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2012,386479,True,African Elephant Database,-17104.0,-4.238038,403583.0,420688.0,stable,Medium,-4.2380377766159665,403583.3333333333,17104.500002436074,0.042381581670293794,33,1300000,0.29729153846153844,1300000,0.29729153846153844,-117.76730970106296,1,0,3.1271411332984793,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2013,369375,True,African Elephant Database,-17104.0,-4.425596,386479.0,403583.0,stable,Medium,-4.42559621609454,386479.0,17104.00000000006,0.044255962160945496,34,1300000,0.2841346153846154,1300000,0.2841346153846154,-122.1929059171575,1,0,3.132767886482836,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2014,352271,False,African Elephant Database,-17104.0,-4.630525,369375.0,386479.0,stable,Medium,-4.630524534686975,369375.0,17104.00000000006,0.046305245346869854,35,1300000,0.2709776923076923,1300000,0.2709776923076923,-126.82343045184447,1,0,3.1389157360406093,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2015,383636,True,African Elephant Database,31365.0,8.903657,368427.0,379069.0,stable,Medium,8.903656559864427,368427.3333333333,15703.960020750676,0.04262430769907771,36,1300000,0.2951046153846154,1300000,0.2951046153846154,-117.91977389198004,0,1,3.2671096967959325,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2016,415000,False,African Elephant Database,31364.0,8.175458,383636.0,381352.0,stable,Medium,8.175457986216106,383635.6666666667,31364.500001328495,0.08175595422044131,37,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,1,3.245263739586483,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2017,415000,True,African Elephant Database,0.0,0.0,404545.0,387056.0,stable,Medium,0.0,404545.3333333333,18108.013842863467,0.044761395944575136,38,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2018,415000,True,African Elephant Database,0.0,0.0,415000.0,396181.0,stable,Medium,0.0,415000.0,0.0,0.0,39,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2019,415000,True,African Elephant Database,0.0,0.0,415000.0,408727.0,stable,Medium,0.0,415000.0,0.0,0.0,40,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2020,415000,True,African Elephant Database,0.0,0.0,415000.0,415000.0,stable,Medium,0.0,415000.0,0.0,0.0,41,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2021,415000,True,African Elephant Database,0.0,0.0,415000.0,415000.0,stable,Medium,0.0,415000.0,0.0,0.0,42,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2022,415000,False,African Elephant Database,0.0,0.0,415000.0,415000.0,stable,Medium,0.0,415000.0,0.0,0.0,43,1300000,0.3192307692307692,1300000,0.3192307692307692,-109.74431590576394,0,0,3.0,2.0,1,2,0,0,False,False,True,False,False,True,False,False,False,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1993,23966,False,Project Elephant Census,222.0,0.926312,23966.0,23966.0,moderate_decline,High,0.0,23966.0,0.0,0.0,0,29391,0.8154196862985268,23966,1.0,0.0,0,0,3.0,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1994,24188,True,Project Elephant Census,222.0,0.926312,24077.0,24077.0,moderate_decline,High,0.9263122757239506,24077.0,156.97770542341354,0.006519819970237692,1,29391,0.8229730189513796,23966,1.0092631227572395,0.9263122757239506,0,1,3.0277893682717183,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1995,24410,True,Project Elephant Census,222.0,0.91781,24188.0,24188.0,moderate_decline,High,0.9178104845377844,24188.0,222.0,0.009178104845377837,2,29391,0.8305263516042326,23966,1.0185262455144788,1.844122760261735,0,1,3.0275343145361333,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1996,24631,True,Project Elephant Census,221.0,0.905367,24410.0,24299.0,moderate_decline,High,0.9053666530110638,24409.666666666668,221.5001881112816,0.009074281559680483,3,29391,0.8380456602361267,23966,1.0277476424935326,2.7494894132727987,0,1,3.0271609995903317,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1997,24853,False,Project Elephant Census,222.0,0.901303,24631.0,24410.0,moderate_decline,High,0.9013032357598094,24631.333333333332,221.5001881112816,0.00899261867450459,4,29391,0.8455989928889797,23966,1.0370107652507718,3.650792649032608,0,1,3.0270390970727945,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1998,25160,True,Project Elephant Census,307.0,1.235263,24881.0,24648.0,moderate_decline,High,1.235263348489113,24881.333333333332,265.6357154701408,0.01067610452829992,5,29391,0.8560443673233302,23966,1.0498205791538011,4.886055997521721,0,1,3.0370579004546734,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,1999,25468,True,Project Elephant Census,308.0,1.224165,25160.0,24904.0,moderate_decline,High,1.2241653418123999,25160.333333333332,307.5001355013264,0.012221624071010925,6,29391,0.8665237657786398,23966,1.0626721188350163,6.110221339334121,0,1,3.036724960254372,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2000,25775,True,Project Elephant Census,307.0,1.205434,25468.0,25177.0,moderate_decline,High,1.2054342704570509,25467.666666666668,307.5001355013264,0.012074138535188088,7,29391,0.8769691402129903,23966,1.0754819327380456,7.315655609791172,0,1,3.0361630281137115,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2001,26083,True,Project Elephant Census,308.0,1.194956,25775.0,25468.0,moderate_decline,High,1.1949563530552876,25775.333333333332,307.5001355013264,0.011930015861469308,8,29391,0.8874485386682999,23966,1.0883334724192606,8.51061196284646,0,1,3.0358486905916586,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2002,26390,False,Project Elephant Census,307.0,1.177012,26083.0,25775.0,moderate_decline,High,1.1770118467967716,26082.666666666668,307.5001355013264,0.011789443902770367,9,29391,0.8978939131026504,23966,1.1011432863222899,9.687623809643231,0,1,3.035310355403903,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2003,26643,True,Project Elephant Census,253.0,0.958696,26372.0,26072.0,moderate_decline,High,0.958696475937848,26372.0,280.4335928522125,0.010633762811019697,10,29391,0.906501990405226,23966,1.111699908203288,10.64632028558108,0,1,3.028760894278135,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2004,26897,True,Project Elephant Census,254.0,0.953346,26643.0,26358.0,moderate_decline,High,0.9533460946590022,26643.333333333332,253.50016436549708,0.00951458142245075,11,29391,0.9151440917287605,23966,1.122298255862472,11.599666380240082,0,1,3.02860038283977,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2005,27150,True,Project Elephant Census,253.0,0.940625,26897.0,26633.0,moderate_decline,High,0.9406253485518823,26896.666666666668,253.50016436549708,0.00942496583339309,12,29391,0.9237521690313362,23966,1.13285487774347,12.540291728791964,0,1,3.0282187604565562,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2006,27404,True,Project Elephant Census,254.0,0.935543,27150.0,26897.0,moderate_decline,High,0.9355432780847162,27150.333333333332,253.50016436549708,0.009336907994947742,13,29391,0.9323942703548705,23966,1.1434532254026537,13.475835006876679,0,1,3.0280662983425417,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2007,27657,False,Project Elephant Census,253.0,0.923223,27404.0,27150.0,moderate_decline,High,0.9232228871697501,27403.666666666668,253.50016436549708,0.00925059290236694,14,29391,0.9410023476574462,23966,1.1540098472836517,14.399057894046429,0,1,3.0276966866150925,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2008,28004,True,Project Elephant Census,347.0,1.254655,27688.0,27422.0,moderate_decline,High,1.254655240987823,27688.333333333332,301.2247223143115,0.010879120772201666,15,29391,0.9528086829301486,23966,1.1684886923141116,15.653713135034252,0,1,3.0376396572296347,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2009,28351,True,Project Elephant Census,347.0,1.239109,28004.0,27713.0,moderate_decline,High,1.2391086987573185,28004.0,347.0000000000015,0.012391086987573213,16,29391,0.9646150182028512,23966,1.1829675373445714,16.892821833791572,0,1,3.0371732609627196,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2010,28697,True,Project Elephant Census,346.0,1.220416,28351.0,28023.0,moderate_decline,High,1.2204155056259047,28350.666666666668,346.5001202501004,0.012221939057873978,17,29391,0.9763873294545949,23966,1.1974046565968455,18.113237339417477,0,1,3.036612465168777,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2011,29044,True,Project Elephant Census,347.0,1.209186,28697.0,28351.0,moderate_decline,High,1.2091856291598369,28697.333333333332,346.5001202501004,0.012074296807488474,18,29391,0.9881936647272975,23966,1.2118835016273053,19.322422968577314,0,1,3.036275568874795,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2012,29391,False,Project Elephant Census,347.0,1.194739,29044.0,28697.0,moderate_decline,High,1.1947390166643812,29044.0,347.0000000000015,0.011947390166643724,19,29391,1.0,23966,1.2263623466577651,20.517161985241696,0,1,3.035842170499931,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2013,28975,True,Project Elephant Census,-416.0,-1.415399,29137.0,28892.0,moderate_decline,High,-1.4153992718859532,29136.666666666668,222.9446867124994,0.007651688137941836,20,29391,0.9858460072811405,23966,1.2090044229324877,19.101762713355743,1,0,3.0424619781565783,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2014,28559,True,Project Elephant Census,-416.0,-1.43572,28975.0,28933.0,moderate_decline,High,-1.4357204486626363,28975.0,416.0000000000013,0.014357204486626399,21,29391,0.9716920145622809,23966,1.1916464992072102,17.666042264693107,1,0,3.0430716134598788,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2015,28144,True,Project Elephant Census,-415.0,-1.453132,28559.0,28823.0,moderate_decline,High,-1.4531321124689245,28559.333333333332,415.5001002807749,0.014548662443594861,22,29391,0.9575720458643803,23966,1.1743303012601185,16.212910152224183,1,0,3.043593963374068,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2016,27728,True,Project Elephant Census,-416.0,-1.478113,28144.0,28559.0,moderate_decline,High,-1.4781125639567905,28143.666666666668,415.5001002807749,0.014763538283833193,23,29391,0.9434180531455207,23966,1.156972377534841,14.734797588267392,1,0,3.0443433769187034,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2017,27312,False,Project Elephant Census,-416.0,-1.500289,27728.0,28144.0,moderate_decline,High,-1.5002885170225078,27728.0,416.00000000000125,0.015002885170225036,24,29391,0.9292640604266612,23966,1.1396144538095636,13.234509071244885,1,0,3.0450086555106752,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2018,26339,True,Project Elephant Census,-973.0,-3.562537,27126.0,27616.0,moderate_decline,High,-3.5625366139425907,27126.333333333332,712.8704884713167,0.026279647887218354,25,29391,0.8961586880337519,23966,1.099015271634816,9.671972457302294,1,0,3.1068760984182777,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2019,25366,True,Project Elephant Census,-973.0,-3.694142,26339.0,26978.0,moderate_decline,High,-3.694141766961545,26339.0,972.9999999999999,0.036941417669615256,26,29391,0.8630533156408424,23966,1.0584160894600685,5.977830690340749,1,0,3.1108242530088464,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2020,24392,True,Project Elephant Census,-974.0,-3.839786,25366.0,26227.0,moderate_decline,High,-3.8397855396988145,25365.666666666668,973.5000428008897,0.038378649991493194,27,29391,0.8299139192269742,23966,1.0177751815071352,2.1380451506419345,1,0,3.1151935661909644,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
Asian Elephant,Elephas maximus,Mammal,India,EN,3,2021,23419,True,Project Elephant Census,-973.0,-3.989013,24392.0,25366.0,moderate_decline,High,-3.9890127910790385,24392.333333333332,973.5000428008897,0.03991008279107722,28,29391,0.7968085468340649,23966,0.9771759993323875,-1.850967640437104,1,0,3.1196703837323714,1.0,2,2,3,1,False,False,True,False,False,False,False,False,True,False,False
